Velocidad,Potencia,MPPT_IN,SOC,MAX_VOLT,MIN_VOLT,MAX_TEMP,MIN_TEMP
-0.1,-0.1,-0.1,0,2.499,2.499,-9.9,-9.9
199.9,99.9,49.9,100,4.299,4.299,89.9,89.9
