SOC,CURRENT,INST_VOLT,OPEN_VOLT,ABS_CURRENT,MAX_VOLT,MIN_VOLT,MAX_TEMP,MAX_TEMP_ID,MIN_TEMP,MIN_TEMP_ID,AVG_TEMP,INTERNAL_TEMP,MAX_VOLT_ID,MIN_VOLT_ID
0,-49.9,-0.1,-0.1,-0.1,2.499,2.499,-9.9,1,-9.9,1,-9.9,-9.9,1,1
100,49.9,129.9,129.9,49.9,4.299,4.299,89.9,30,89.9,30,89.9,89.9,30,30
