VOLT_1,VOLT_2,VOLT_3,VOLT_4,VOLT_5,VOLT_6,VOLT_7,VOLT_8,VOLT_9,VOLT_10,VOLT_11,VOLT_12,VOLT_13,VOLT_14,VOLT_15,VOLT_16,VOLT_17,VOLT_18,VOLT_19,VOLT_20,VOLT_21,VOLT_22,VOLT_23,VOLT_24,VOLT_25,VOLT_26,VOLT_27,VOLT_28,VOLT_29,VOLT_30
2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499,2.499
4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299,4.299
