IA,IB,IC,VA,VB,VC,RPM,ERR_CODE,PWM,EMR,MOTOR_TEMP,KELLY_TEMP,THROTTLE,REVERSE
-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0,0,0,-9.9,-9.9,0,0
49.9,49.9,49.9,129.9,129.9,129.9,4999.9,255,1,1,119.9,119.9,1,1
